Link Name,Name and Date,Website Address,Article Link is From
Excited altruim,"Karnofy, Holden. 2013",http://blog.givewell.org/2013/08/20/excited-altruism/,Excited altruism vs obligatory altruism
"Famine, affluence and morality","Singer, Peter. 1972",http://philosophyfaculty.ucsd.edu/faculty/rarneson/Singeressayspring1972.pdf,Excited altruism vs obligatory altruism
Cheerfully,"Wise, Julia. 2013",http://www.givinggladly.com/2013/06/cheerfully.html,Excited altruism vs obligatory altruism
9 ways to put yourself in a better position in any job,"80,000 Hours. 2016",https://80000hours.org/articles/career-capital-in-any-job/,Career capital
The two most common ways people accidentally sabotage their career early on,"80,000 Hours. 2016",https://80000hours.org/career-guide/career-capital/,Career capital
Why even our readers should save enough to live for 6-24 months,"Todd, Benjamin. 2015",https://80000hours.org/2015/11/why-everyone-even-our-readers-should-save-enough-to-live-for-6-24-months/,Career capital
We reviewed over 60 studies about what makes for a dream job. Here’s what we found,"80,000 Hours. 2016",https://80000hours.org/career-guide/job-satisfaction/,Job satisfaction
How to find the right career for you,"80,000 Hours. 2016",https://80000hours.org/career-guide/personal-fit/,Personal fit
Interview: Holden Karnofsky on the importance of personal fit,"Todd, Benjamin. 2014",https://80000hours.org/2014/10/interview-holden-karnofsky-on-the-importance-of-personal-fit/,Personal fit
What should you look for in a job? Introducing our framework,"80,000 Hours. 2016",https://80000hours.org/articles/framework/,Role impact
Why the ideas you’ve heard for doing good with your career aren’t the best,"80,000 Hours. 2016",https://80000hours.org/career-guide/high-impact-jobs/#approach-2-advocacy,Advocacy careers
Why the ideas you’ve heard for doing good with your career aren’t the best,"80,000 Hours. 2016",https://80000hours.org/career-guide/high-impact-jobs/#approach-4-direct-work,Direct work
Why the ideas you’ve heard for doing good with your career aren’t the best,"80,000 Hours. 2016",https://80000hours.org/career-guide/high-impact-jobs/#approach-1-earning-to-give,Earning to give
"Replaceability, career choice, and making a difference","MacAskill, William. 2014",http://philpapers.org/rec/MACRCC-2,Earning to give
"80,000 Hours thinks that only a small proportion of people should earn to give long term","MacAskill, William. 2015",https://80000hours.org/2015/07/80000-hours-thinks-that-only-a-small-proportion-of-people-should-earn-to-give-long-term/,Earning to give
"Why you should focus more on talent gaps, not funding gaps","Todd, Benjamin. 2015",https://80000hours.org/2015/11/why-you-should-focus-more-on-talent-gaps-not-funding-gaps/,Earning to give
Earning to give: an annotated bibliography,"Stafforini, Pablo. 2016",http://www.stafforini.com/blog/writings-on-earning-to-give-an-annotated-bibliography/,Earning to give
Why the ideas you’ve heard for doing good with your career aren’t the best,"80,000 Hours. 2016",https://80000hours.org/career-guide/high-impact-jobs/#approach-3-research,Research careers
Alan Turing: The codebreaker who saved ‘millions of lives’,"Copeland, Jack. 2012",https://web.archive.org/web/20160613165137/http://www.bbc.co.uk/news/technology-18419691,Research careers
Doing good better: How effective altruism can help you make a difference,"MacAskill, Will. 2015",[no link],Research careers
You have a set amount of “weirdness points”: spend them wisely,"Hurford, Peter. 2014",http://effective-altruism.com/ea/bg/you_have_a_set_amount_of_weirdness_points_spend/,Budgeting for yourself and others
Doing good better: How effective altruism can help you make a difference,"MacAskill, Will. 2015",[no link],Budgeting for yourself and others
Burnout and self-care,"Wise, Julia. 2015",http://effective-altruism.com/ea/p5/burnout_and_selfcare/,Budgeting for yourself and others
Want to kill fewer animals? Give up eggs,"Galef, Julia. 2011",https://blogs.scientificamerican.com/guest-blog/want-to-kill-fewer-animals-give-up-eggs-not-meat/,Consuming animal products
Why eat less meat,"Hurford, Peter. 2013",http://everydayutilitarian.com/essays/why-eat-less-meat/,Consuming animal products
Don’t sweat diet?,"Lewis, Gregory. 2015",http://effective-altruism.com/ea/p3/dont_sweat_diet/,Consuming animal products
Does vegetarianism make a difference?,"Tomasik, Brian. 2014",http://reducing-suffering.org/does-vegetarianism-make-a-difference/,Consuming animal products
How much suffering is directly caused by various animal foods?,"Tomasik, Brian. 2016",http://reducing-suffering.org/how-much-direct-suffering-is-caused-by-various-animal-foods/,Consuming animal products
"Effective altruism, environmentalism, and climate change: an introduction","Gaensbauer, Evan. 2016.",http://effective-altruism.com/ea/un/effective_altruism_environmentalism_and_climate/,Environmental consumption
Conversation with Alice Yu on Effective Altruism,"Kuhn, Ben. 2013",http://www.benkuhn.net/alice,Environmental consumption
Ethical offsetting is antithetical to EA,"Zabel, Claire. 2016",http://effective-altruism.com/ea/ry/ethical_offsetting_is_antithetical_to_ea/,Environmental consumption
